family_group,family,task_id,m,n,config_id,block_size,num_warps,num_stages,shape_json,config_json,median_ms,effective_gbps,score,validation_error
A,softmax,softmax_m4096_n256,4096,256,28,512,8,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 1, ""num_warps"": 8}",0.009631999768316746,435.45515997587916,4.6426644144691664,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,29,512,8,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 2, ""num_warps"": 8}",0.009664000011980534,434.01324449506313,4.63934763654997,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,30,512,8,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 3, ""num_warps"": 8}",0.009664000011980534,434.01324449506313,4.63934763654997,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,31,512,8,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 512, ""num_stages"": 4, ""num_warps"": 8}",0.009696000255644321,432.58084668040044,4.636041823289221,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,32,1024,1,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 1, ""num_warps"": 1}",0.007712000049650669,543.867216415538,4.864977715235788,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,33,1024,1,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 2, ""num_warps"": 1}",0.007712000049650669,543.867216415538,4.864977715235788,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,34,1024,1,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 3, ""num_warps"": 1}",0.007712000049650669,543.867216415538,4.864977715235788,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,35,1024,1,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 4, ""num_warps"": 1}",0.007712000049650669,543.867216415538,4.864977715235788,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,36,1024,2,1,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 1, ""num_warps"": 2}",0.007679999805986881,546.1333471298221,4.869135757084681,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,37,1024,2,2,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 2, ""num_warps"": 2}",0.007679999805986881,546.1333471298221,4.869135757084681,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,38,1024,2,3,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 3, ""num_warps"": 2}",0.007679999805986881,546.1333471298221,4.869135757084681,3.0517578125e-05
A,softmax,softmax_m4096_n256,4096,256,39,1024,2,4,"{""family"": ""softmax"", ""group_count"": null, ""k"": null, ""m"": 4096, ""n"": 256}","{""block_size"": 1024, ""num_stages"": 4, ""num_warps"": 2}",0.007679999805986881,546.1333471298221,4.869135757084681,3.0517578125e-05
